product,game_variant,prize_tier,winning_rule,prize_value_vnd,details_json,source_url
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 1,Kết quả quay số có ít nhất hai số 1,75000,"{""columns"":{""Giá trị trúng thưởng"":""75.000"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 1""},""row_index"":0,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 1,Kết quả quay số có ít nhất hai số 1,7500029,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 29 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 1""},""row_index"":0,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171710
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 2,Kết quả quay số có ít nhất hai số 2,75000,"{""columns"":{""Giá trị trúng thưởng"":""75.000"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 2""},""row_index"":1,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 2,Kết quả quay số có ít nhất hai số 2,750008,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 8 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 2""},""row_index"":1,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171706
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 2,Kết quả quay số có ít nhất hai số 2,750009,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 9 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 2""},""row_index"":1,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171719
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 2,Kết quả quay số có ít nhất hai số 2,7500021,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 21 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 2""},""row_index"":1,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171716
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 3,Kết quả quay số có ít nhất hai số 3,75000,"{""columns"":{""Giá trị trúng thưởng"":""75.000"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 3""},""row_index"":2,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 3,Kết quả quay số có ít nhất hai số 3,7500014,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 14 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 3""},""row_index"":2,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171722
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 3,Kết quả quay số có ít nhất hai số 3,7500072,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 72 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 3""},""row_index"":2,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171713
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 4,Kết quả quay số có ít nhất hai số 4,75000,"{""columns"":{""Giá trị trúng thưởng"":""75.000"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 4""},""row_index"":3,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 4,Kết quả quay số có ít nhất hai số 4,7500039,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 39 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 4""},""row_index"":3,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171704
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 5,Kết quả quay số có ít nhất hai số 5,75000,"{""columns"":{""Giá trị trúng thưởng"":""75.000"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 5""},""row_index"":4,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171700
bingo18,tabSelNumberInfo,Kết quả quay số có ít nhất hai số 5,Kết quả quay số có ít nhất hai số 5,7500072,"{""columns"":{""Giá trị trúng thưởng"":""75.000 ( Số lượng: 72 )"",""Xác định kết quả"":""Kết quả quay số có ít nhất hai số 5""},""row_index"":4,""table_index"":3}",https://vietlott.vn/vi/trung-thuong/ket-qua-trung-thuong/view-detail-bingo18-result?nocatche=1&id=0171728
